순위, 제목, 저자, 가격
87, 그리고 행복하다는 소식을 들었습니다, 이병률, 14220원
88, 예쁘게 말하는 네가 좋다, 김범준, 14220원
89, 가녀장의 시대, 이슬아, 13500원
90, 기도수첩(Remnant)(2022년 11월호), 생명 편집부, 4750원
91, 흔한남매의 흔한 호기심 7, 안치현 외, 12600원
92, 우리는 어디서 살아야 하는가, 김시덕, 16200원
93, 2022 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사, 해커스 취업교육연구소, 20610원
94, 외사랑, 히가시노 게이고 외, 16020원
95, 어떻게 말해줘야 할까(60만 부 기념 한정판 리커버), 오은영 외, 15750원
96, 2022 하반기 에듀윌 취업 온라인 GSAT 삼성직무적성검사 실전 봉투모의고사 10회, 에듀윌 취업연구소, 16200원
97, 작별인사(밤하늘 에디션), 김영하, 12600원
98, 오싹오싹 크레용!, 에런 레이놀즈 외, 11700원
99, 진짜 쓰는 실무 엑셀, 오빠두(전진권), 18900원
100, 마이클 모부신 운과 실력의 성공 방정식, 마이클 모부신 외, 16200원
101, 교보문고 시그니처 독서대(월넛), 교보문고, 58500원
102, 부의 인문학(20만부 기념 개정증보판), 우석, 15300원
103, 좋은 불평등, 최병천, 19800원
104, 혼자 공부하는 파이썬, 윤인성, 19800원
105, 아몬드(100만 부 기념 특별판), 손원평, 10800원
106, EBS Final 실전모의고사 고등 국어영역(2022)(2023 수능대비), EBS교육방송 편집부, 9900원
107, 쎈 중등 수학 2-2(2022), 홍범준 외, 14400원
108, 나는 나의 밤을 떠나지 않는다, 아니 에르노 외, 10800원
109, 엄마의 말 연습, 윤지영, 15750원
110, 대발이는 벚꽃을 좋아해, 안도현, 10800원
111, 변화하는 세계 질서, 레이 달리오 외, 34200원
112, 2022 ADsP 데이터 분석 준전문가, 윤종식, 25200원
113, 365 부모 말하기 연습 일력, 박재연 외, 16200원
114, 마지막 몰입: 나를 넘어서는 힘, 짐 퀵 외, 15120원
115, 문장과 순간, 박웅현, 16200원
116, 설민석의 한국사 대모험 22, 설민석 외, 11700원
117, 역설계, 론 프리드먼 외, 16020원
118, 다이어트 사이언스(2022), 최겸, 19800원
