,datetime,가계예금총금액
227,2018-12-01,618442.2
228,2019-01-01,622993.0
229,2019-02-01,628511.2
230,2019-03-01,635899.6
231,2019-04-01,640058.4
232,2019-05-01,639299.2
233,2019-06-01,643207.8
234,2019-07-01,642374.2
235,2019-08-01,647293.5
236,2019-09-01,651408.5
237,2019-10-01,654001.6
238,2019-11-01,660822.9
239,2019-12-01,668953.5
240,2020-01-01,678631.7
241,2020-02-01,689763.5
242,2020-03-01,694909.1
243,2020-04-01,704239.4
244,2020-05-01,709640.5
245,2020-06-01,716052.2
246,2020-07-01,719181.6
247,2020-08-01,715545.0
248,2020-09-01,726935.3
249,2020-10-01,726446.7
250,2020-11-01,727663.1
251,2020-12-01,739587.8
252,2021-01-01,742425.6
253,2021-02-01,750996.4
254,2021-03-01,751013.5
255,2021-04-01,740945.2
256,2021-05-01,752021.7
257,2021-06-01,757140.2
258,2021-07-01,756147.3
259,2021-08-01,757885.4
260,2021-09-01,765595.8
261,2021-10-01,773991.7
262,2021-11-01,773909.1
263,2021-12-01,787750.6
264,2022-01-01,797128.9
265,2022-02-01,800438.2
266,2022-03-01,813734.4
267,2022-04-01,821462.3
268,2022-05-01,824090.7
269,2022-06-01,830333.7
270,2022-07-01,836014.5
271,2022-08-01,836379.2
