,datetime,주택매매가격지수
245,2020-06-01,81.776
246,2020-07-01,82.495
247,2020-08-01,83.137
248,2020-09-01,83.798
249,2020-10-01,84.359
250,2020-11-01,85.568
251,2020-12-01,86.735
252,2021-01-01,87.767
253,2021-02-01,88.962
254,2021-03-01,90.135
255,2021-04-01,91.091
256,2021-05-01,91.964
257,2021-06-01,93.169
258,2021-07-01,94.256
259,2021-08-01,95.666
260,2021-09-01,97.123
261,2021-10-01,98.14
262,2021-11-01,99.224
263,2021-12-01,99.72
264,2022-01-01,100.0
265,2022-02-01,100.207
266,2022-03-01,100.306
267,2022-04-01,100.517
268,2022-05-01,100.768
269,2022-06-01,100.869
270,2022-07-01,100.869
271,2022-08-01,100.728
272,2022-09-01,100.568
273,2022-10-01,100.014
