,datetime,price2
245,2020-06-01,86.374
246,2020-07-01,86.752
247,2020-08-01,87.207
248,2020-09-01,87.962
249,2020-10-01,88.689
250,2020-11-01,90.181
251,2020-12-01,91.176
252,2021-01-01,91.934
253,2021-02-01,92.627
254,2021-03-01,93.273
255,2021-04-01,93.835
256,2021-05-01,94.372
257,2021-06-01,95.202
258,2021-07-01,96.053
259,2021-08-01,97.04
260,2021-09-01,97.976
261,2021-10-01,98.579
262,2021-11-01,99.301
263,2021-12-01,99.728
264,2022-01-01,100.0
265,2022-02-01,100.217
266,2022-03-01,100.33
267,2022-04-01,100.548
268,2022-05-01,100.789
269,2022-06-01,100.928
270,2022-07-01,100.965
271,2022-08-01,100.876
272,2022-09-01,100.773
273,2022-10-01,100.264
